games,city,host_city_lat,host_city_lng
1900 Summer,Paris,48.85341,2.3487999
1920 Summer,Antwerp,51.2166667,4.4166665
1920 Summer,Antwerp,51.2166667,4.4166665
2014 Winter,Sochi,43.6,39.730278
1952 Summer,Helsinki,60.1699,24.9384
1948 Summer,London,51.5084153,-0.1255327
1948 Summer,London,51.5084153,-0.1255327
1948 Summer,London,51.5084153,-0.1255327
1948 Summer,London,51.5084153,-0.1255327
1992 Winter,Albertville,45.6755,6.3927
1992 Winter,Albertville,45.6755,6.3927
1994 Winter,Lillehammer,61.1153,10.4662
1994 Winter,Lillehammer,61.1153,10.4662
1994 Winter,Lillehammer,61.1153,10.4662
2002 Winter,Salt Lake City,40.758701,-111.876183
2002 Winter,Salt Lake City,40.758701,-111.876183
2006 Winter,Torino,45.0703,7.6869
2008 Summer,Beijing,39.9074977,116.3972244
1920 Summer,Antwerp,51.2166667,4.4166665
1988 Summer,Seoul,37.5663889,126.9997253
1996 Summer,Atlanta,33.7489954,-84.3879852
1996 Summer,Atlanta,33.7489954,-84.3879852
1920 Summer,Antwerp,51.2166667,4.4166665
1952 Winter,Oslo,60.1755556,24.934166
1960 Winter,Squaw Valley,39.1963,-120.2336
1912 Summer,Stockholm,59.3325765,18.0649033
1956 Summer,Melbourne,-37.8139966,144.9633179
2016 Summer,Rio de Janeiro,-22.9027778,-43.2075005
2008 Summer,Beijing,39.9074977,116.3972244
2016 Summer,Rio de Janeiro,-22.9027778,-43.2075005
2008 Summer,Beijing,39.9074977,116.3972244
2008 Summer,Beijing,39.9074977,116.3972244
2008 Summer,Beijing,39.9074977,116.3972244
2012 Summer,London,51.5084153,-0.1255327
2016 Summer,Rio de Janeiro,-22.9027778,-43.2075005
2000 Summer,Sydney,-33.86785,151.2073212
1996 Summer,Atlanta,33.7489954,-84.3879852
2004 Summer,Athens,37.9833333,23.7333336
1980 Summer,Moscow,55.7522222,37.6155548
1984 Summer,Los Angeles,34.0522342,-118.2436829
2004 Summer,Athens,37.9833333,23.7333336
2008 Summer,Beijing,39.9074977,116.3972244
1992 Summer,Barcelona,41.3887869,2.1589851
1936 Summer,Berlin,52.5166667,13.3999996
